"","frci","Band_2","Band_3","Band_4","Band_5","Band_6","Band_7","cluster"
"5202",0.814,0.09,0.067,0.041,0.31,0.067,0.019,2
"5203",0.819,0.09,0.072,0.045,0.303,0.099,0.034,2
"5204",0.865,0.092,0.069,0.043,0.302,0.067,0.021,2
"5205",0.856,0.09,0.068,0.043,0.299,0.08,0.024,2
"5206",0.829,0.091,0.067,0.042,0.262,0.069,0.023,2
"5207",0.893,0.09,0.066,0.043,0.266,0.073,0.024,2
"5208",0.834,0.096,0.074,0.052,0.25,0.086,0.034,2
"5209",0.828,0.09,0.066,0.042,0.271,0.079,0.026,2
"5210",0.853,0.092,0.074,0.05,0.298,0.104,0.038,2
"5211",0.886,0.087,0.067,0.039,0.3,0.085,0.028,2
"5212",0.875,0.092,0.073,0.048,0.274,0.09,0.031,2
"5213",0.882,0.091,0.071,0.045,0.278,0.092,0.03,2
"5214",0.801,0.091,0.07,0.045,0.284,0.079,0.024,2
"5215",0.838,0.093,0.071,0.046,0.278,0.08,0.028,2
"5216",0.832,0.091,0.072,0.046,0.311,0.104,0.035,2
"5217",0.86,0.091,0.068,0.042,0.314,0.074,0.022,2
"5218",0.819,0.091,0.071,0.044,0.301,0.079,0.025,2
"5219",0.894,0.091,0.07,0.044,0.311,0.085,0.026,2
"5220",0.887,0.09,0.067,0.043,0.295,0.083,0.024,2
"5221",0.83,0.096,0.075,0.051,0.268,0.068,0.023,2
"5222",0.854,0.091,0.072,0.044,0.345,0.076,0.024,2
"5223",0.852,0.089,0.065,0.042,0.256,0.07,0.022,2
"5224",0.841,0.092,0.071,0.047,0.245,0.054,0.016,2
"5225",0.821,0.093,0.073,0.048,0.295,0.091,0.029,2
"5226",0.812,0.09,0.069,0.043,0.299,0.088,0.027,2
"5227",0.897,0.088,0.063,0.041,0.248,0.067,0.02,2
"5228",0.889,0.088,0.068,0.04,0.335,0.073,0.021,2
"5229",0.884,0.091,0.072,0.045,0.294,0.098,0.032,2
"5230",0.804,0.09,0.069,0.041,0.318,0.101,0.032,2
"5231",0.836,0.092,0.07,0.043,0.307,0.063,0.018,2
"5232",0.862,0.094,0.074,0.049,0.286,0.094,0.031,2
"5233",0.85,0.091,0.069,0.045,0.275,0.086,0.028,2
"5234",0.839,0.09,0.072,0.043,0.336,0.108,0.033,2
"5235",0.895,0.092,0.069,0.046,0.278,0.084,0.026,2
"5236",0.889,0.091,0.069,0.043,0.301,0.077,0.024,2
"5237",0.828,0.097,0.081,0.065,0.22,0.061,0.021,2
"5238",0.883,0.094,0.073,0.045,0.326,0.082,0.025,2
"5239",0.843,0.092,0.071,0.046,0.28,0.084,0.028,2
"5240",0.826,0.09,0.069,0.041,0.313,0.071,0.02,2
"5241",0.889,0.091,0.071,0.044,0.275,0.07,0.021,2
"5242",0.802,0.093,0.077,0.048,0.369,0.122,0.04,2
"5243",0.871,0.091,0.07,0.044,0.296,0.088,0.027,2
"5244",0.875,0.091,0.069,0.044,0.266,0.059,0.019,2
"5245",0.805,0.095,0.073,0.048,0.302,0.098,0.035,2
"5246",0.835,0.095,0.074,0.047,0.327,0.09,0.03,2
"5247",0.886,0.09,0.067,0.043,0.289,0.078,0.024,2
"5248",0.896,0.091,0.068,0.042,0.289,0.069,0.021,2
"5249",0.802,0.091,0.068,0.043,0.28,0.067,0.022,2
"5250",0.898,0.091,0.068,0.044,0.292,0.077,0.024,2
"5251",0.89,0.094,0.071,0.046,0.285,0.076,0.025,2
"5252",0.888,0.09,0.067,0.044,0.248,0.081,0.027,2
"5253",0.87,0.091,0.07,0.045,0.27,0.086,0.028,2
"5254",0.864,0.094,0.071,0.045,0.29,0.07,0.023,2
"5255",0.844,0.091,0.07,0.044,0.324,0.09,0.028,2
"5256",0.804,0.095,0.075,0.047,0.293,0.073,0.021,2
"5257",0.843,0.092,0.073,0.045,0.344,0.102,0.033,2
"5258",0.886,0.09,0.067,0.043,0.285,0.079,0.026,2
"5259",0.889,0.088,0.065,0.039,0.324,0.071,0.021,2
"5260",0.808,0.09,0.069,0.042,0.284,0.089,0.029,2
"5261",0.872,0.091,0.069,0.045,0.257,0.082,0.027,2
"5262",0.838,0.093,0.075,0.047,0.29,0.091,0.03,2
"5263",0.886,0.089,0.064,0.041,0.241,0.072,0.023,2
"5264",0.816,0.094,0.073,0.047,0.332,0.09,0.029,2
"5265",0.868,0.09,0.064,0.043,0.244,0.079,0.026,2
"5266",0.894,0.094,0.073,0.045,0.317,0.078,0.024,2
"5267",0.843,0.095,0.078,0.052,0.276,0.077,0.029,2
"5268",0.867,0.091,0.07,0.044,0.298,0.087,0.028,2
"5269",0.897,0.086,0.064,0.038,0.288,0.069,0.021,2
"5270",0.869,0.09,0.066,0.043,0.278,0.08,0.025,2
"5271",0.842,0.09,0.068,0.045,0.292,0.088,0.028,2
"5272",0.826,0.086,0.065,0.038,0.304,0.079,0.026,2
"5273",0.874,0.096,0.081,0.051,0.301,0.1,0.033,2
"5274",0.804,0.095,0.08,0.054,0.236,0.058,0.02,2
"5275",0.844,0.09,0.07,0.044,0.3,0.088,0.028,2
"5276",0.874,0.093,0.07,0.046,0.288,0.083,0.026,2
"5277",0.898,0.092,0.071,0.046,0.295,0.093,0.03,2
"5278",0.824,0.089,0.066,0.04,0.304,0.071,0.023,2
"5279",0.879,0.091,0.071,0.047,0.283,0.085,0.028,2
"5280",0.874,0.09,0.068,0.041,0.327,0.078,0.022,2
"5281",0.872,0.093,0.075,0.048,0.296,0.1,0.033,2
"5282",0.897,0.091,0.069,0.046,0.269,0.084,0.027,2
"5283",0.878,0.093,0.07,0.043,0.317,0.075,0.023,2
"5284",0.865,0.089,0.067,0.042,0.281,0.085,0.026,2
"5285",0.832,0.09,0.072,0.041,0.352,0.088,0.025,2
"5286",0.808,0.09,0.069,0.042,0.325,0.078,0.023,2
"5287",0.856,0.09,0.07,0.043,0.316,0.089,0.028,2
"5288",0.862,0.091,0.07,0.045,0.299,0.083,0.025,2
"5289",0.854,0.09,0.068,0.042,0.303,0.089,0.027,2
"5290",0.883,0.091,0.071,0.043,0.313,0.077,0.023,2
"5291",0.897,0.091,0.073,0.048,0.273,0.092,0.031,2
"5292",0.832,0.092,0.071,0.043,0.338,0.087,0.025,2
"5293",0.867,0.089,0.069,0.041,0.326,0.076,0.023,2
"5294",0.863,0.093,0.071,0.045,0.297,0.076,0.025,2
"5295",0.832,0.093,0.074,0.045,0.304,0.076,0.023,2
"5296",0.864,0.091,0.071,0.044,0.332,0.081,0.024,2
"5297",0.856,0.092,0.071,0.046,0.3,0.087,0.027,2
"5298",0.859,0.091,0.067,0.044,0.269,0.075,0.024,2
"5299",0.838,0.09,0.066,0.044,0.274,0.076,0.024,2
"5300",0.806,0.093,0.075,0.047,0.322,0.105,0.034,2
"5301",0.817,0.091,0.072,0.046,0.298,0.091,0.03,2
"5302",0.812,0.096,0.075,0.048,0.297,0.07,0.021,2
"5303",0.87,0.092,0.072,0.044,0.305,0.104,0.033,2
"5304",0.841,0.093,0.073,0.047,0.283,0.09,0.028,2
"5305",0.851,0.089,0.07,0.041,0.333,0.081,0.023,2
"5306",0.848,0.093,0.071,0.044,0.3,0.07,0.022,2
"5307",0.811,0.099,0.082,0.058,0.261,0.088,0.032,2
"5308",0.899,0.089,0.066,0.041,0.272,0.071,0.021,2
"5309",0.876,0.09,0.068,0.044,0.259,0.083,0.027,2
"5310",0.894,0.092,0.07,0.045,0.29,0.09,0.029,2
"5311",0.873,0.091,0.074,0.045,0.332,0.092,0.028,2
"5312",0.809,0.091,0.073,0.045,0.334,0.097,0.034,2
"5313",0.81,0.094,0.074,0.05,0.274,0.072,0.025,2
"5314",0.853,0.097,0.078,0.053,0.269,0.067,0.024,2
"5315",0.816,0.092,0.072,0.046,0.318,0.099,0.033,2
"5316",0.831,0.092,0.072,0.046,0.291,0.096,0.031,2
"5317",0.849,0.089,0.07,0.041,0.276,0.071,0.022,2
"5318",0.83,0.089,0.068,0.042,0.286,0.09,0.029,2
"5319",0.884,0.091,0.07,0.045,0.282,0.09,0.03,2
"5320",0.808,0.092,0.071,0.045,0.307,0.081,0.026,2
"5321",0.895,0.09,0.066,0.044,0.261,0.082,0.027,2
"5322",0.829,0.093,0.076,0.048,0.359,0.089,0.027,2
"5323",0.863,0.09,0.068,0.044,0.275,0.086,0.028,2
"5324",0.897,0.088,0.063,0.038,0.276,0.059,0.017,2
"5325",0.85,0.09,0.066,0.041,0.299,0.066,0.02,2
"5326",0.884,0.09,0.068,0.044,0.265,0.087,0.028,2
"5327",0.88,0.09,0.071,0.044,0.311,0.087,0.027,2
"5328",0.86,0.091,0.071,0.044,0.314,0.104,0.033,2
"5329",0.894,0.094,0.071,0.045,0.298,0.068,0.022,2
"5330",0.801,0.09,0.067,0.041,0.279,0.062,0.019,2
"5331",0.864,0.09,0.068,0.043,0.297,0.077,0.023,2
"5332",0.801,0.091,0.069,0.044,0.304,0.086,0.027,2
"5333",0.811,0.092,0.07,0.045,0.291,0.083,0.025,2
"5334",0.864,0.092,0.07,0.046,0.27,0.088,0.029,2
"5335",0.889,0.089,0.065,0.043,0.254,0.074,0.024,2
"5336",0.823,0.09,0.066,0.044,0.256,0.072,0.024,2
"5337",0.842,0.093,0.075,0.047,0.343,0.106,0.035,2
"5338",0.836,0.092,0.071,0.047,0.285,0.092,0.029,2
"5339",0.979,0.091,0.067,0.044,0.28,0.078,0.025,2
"5340",0.934,0.094,0.072,0.047,0.312,0.082,0.029,2
"5341",0.971,0.09,0.067,0.043,0.275,0.078,0.024,2
"5342",0.99,0.094,0.072,0.047,0.289,0.081,0.025,2
